PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27428778","Out of the corner of my eye: Foveal semantic load modulates parafoveal processing in reading","Payne BR, Stites MC, Federmeier KD.","J Exp Psychol Hum Percept Perform. 2016 Nov;42(11):1839-1857. doi: 10.1037/xhp0000253. Epub 2016 Jul 18.","Payne BR","J Exp Psychol Hum Percept Perform","2016","2016/07/19","PMC5083148","NIHMS781953","10.1037/xhp0000253"
"23694682","Binocular coordination of saccades during reading in children with clinically assessed poor vergence capabilities","Gaertner C, Bucci MP, Ajrezo L, Wiener-Vacher S.","Vision Res. 2013 Jul 19;87:22-9. doi: 10.1016/j.visres.2013.05.006. Epub 2013 May 18.","Gaertner C","Vision Res","2013","2013/05/23","","","10.1016/j.visres.2013.05.006"
"26454618","Effects of parallel planning on agreement production","Veenstra A, Meyer AS, Acheson DJ.","Acta Psychol (Amst). 2015 Nov;162:29-39. doi: 10.1016/j.actpsy.2015.09.011. Epub 2015 Oct 31.","Veenstra A","Acta Psychol (Amst)","2015","2015/10/12","","","10.1016/j.actpsy.2015.09.011"
"25181495","Parafoveal processing affects outgoing saccade length during the reading of Chinese","Liu Y, Reichle ED, Li X.","J Exp Psychol Learn Mem Cogn. 2015 Jul;41(4):1229-36. doi: 10.1037/xlm0000057. Epub 2014 Sep 1.","Liu Y","J Exp Psychol Learn Mem Cogn","2015","2014/09/03","PMC4345150","NIHMS628522","10.1037/xlm0000057"
"24508073","Saccade-target selection of dyslexic children when reading Chinese","Pan J, Yan M, Laubrock J, Shu H, Kliegl R.","Vision Res. 2014 Apr;97:24-30. doi: 10.1016/j.visres.2014.01.014. Epub 2014 Feb 5.","Pan J","Vision Res","2014","2014/02/11","PMC4402406","NIHMS672017","10.1016/j.visres.2014.01.014"
"21987911","Investigating word class effects in first and second languages","Furtner MR, Rauthmann JF, Sachse P.","Percept Mot Skills. 2011 Aug;113(1):87-97. doi: 10.2466/04.11.28.PMS.113.4.87-97.","Furtner MR","Percept Mot Skills","2011","2011/10/13","","","10.2466/04.11.28.PMS.113.4.87-97"
"22542804","Direct lexical control of eye movements in reading: evidence from a survival analysis of fixation durations","Reingold EM, Reichle ED, Glaholt MG, Sheridan H.","Cogn Psychol. 2012 Sep;65(2):177-206. doi: 10.1016/j.cogpsych.2012.03.001. Epub 2012 Apr 25.","Reingold EM","Cogn Psychol","2012","2012/05/01","PMC3565237","NIHMS364321","10.1016/j.cogpsych.2012.03.001"
"21287115","Recording online processes in task-oriented reading with Read&Answer","Vidal-Abarca E, Martinez T, Salmerón L, Cerdán R, Gilabert R, Gil L, Mañá A, Llorens AC, Ferris R.","Behav Res Methods. 2011 Mar;43(1):179-92. doi: 10.3758/s13428-010-0032-1.","Vidal-Abarca E","Behav Res Methods","2011","2011/02/03","","","10.3758/s13428-010-0032-1"
"22313036","Eye movements reveal rapid concurrent access to factual and counterfactual interpretations of the world","Ferguson HJ.","Q J Exp Psychol (Hove). 2012;65(5):939-61. doi: 10.1080/17470218.2011.637632. Epub 2012 Feb 7.","Ferguson HJ","Q J Exp Psychol (Hove)","2012","2012/02/09","","","10.1080/17470218.2011.637632"
"28098521","Semantic and Syntactic Associations During Word Search Modulate the Relationship Between Attention and Subsequent Memory","Zhou W, Mo F, Zhang Y, Ding J.","J Gen Psychol. 2017 Jan-Mar;144(1):69-88. doi: 10.1080/00221309.2016.1258389.","Zhou W","J Gen Psychol","2017","2017/01/19","","","10.1080/00221309.2016.1258389"
"25068856","Parafoveal lexical activation depends on skilled reading proficiency","Veldre A, Andrews S.","J Exp Psychol Learn Mem Cogn. 2015 Mar;41(2):586-95. doi: 10.1037/xlm0000039. Epub 2014 Jul 28.","Veldre A","J Exp Psychol Learn Mem Cogn","2015","2014/07/29","","","10.1037/xlm0000039"
"24825308","If it's hard to read, it changes how long you do it: reading time as an explanation for perceptual fluency effects on judgment","Sanchez CA, Jaeger AJ.","Psychon Bull Rev. 2015 Feb;22(1):206-11. doi: 10.3758/s13423-014-0658-6.","Sanchez CA","Psychon Bull Rev","2015","2014/05/15","","","10.3758/s13423-014-0658-6"
"30501560","Stable preview difficulty effects in reading with an improved variant of the boundary paradigm","Risse S, Seelig S.","Q J Exp Psychol (Hove). 2019 Jul;72(7):1632-1645. doi: 10.1177/1747021818819990. Epub 2019 Jan 13.","Risse S","Q J Exp Psychol (Hove)","2019","2018/12/04","","","10.1177/1747021818819990"
"29999398","Forced fixations, trans-saccadic integration, and word recognition: Evidence for a hybrid mechanism of saccade triggering in reading","Schotter ER, von der Malsburg T, Leinenger M.","J Exp Psychol Learn Mem Cogn. 2019 Apr;45(4):677-688. doi: 10.1037/xlm0000617. Epub 2018 Jul 12.","Schotter ER","J Exp Psychol Learn Mem Cogn","2019","2018/07/13","","","10.1037/xlm0000617"
"25200901","An evaluation of eye tracking technology in the assessment of 12 lead electrocardiography interpretation","Breen CJ, Bond R, Finlay D.","J Electrocardiol. 2014 Nov-Dec;47(6):922-9. doi: 10.1016/j.jelectrocard.2014.08.008. Epub 2014 Aug 13.","Breen CJ","J Electrocardiol","2014","2014/09/10","","","10.1016/j.jelectrocard.2014.08.008"
"25711096","[Eye movement parameters in reading the sentences with syntactic ambiguity in Russian language]","Anisimov VA, Fedorova OV, Latanov AV.","Fiziol Cheloveka. 2014 Sep-Oct;40(5):57-68.","Anisimov VA","Fiziol Cheloveka","2014","2015/02/26","","",""
"30843176","Spill the load: Mixed evidence for a foveal load effect, reliable evidence for a spillover effect in eye-movement control during reading","Findelsberger E, Hutzler F, Hawelka S.","Atten Percept Psychophys. 2019 Jul;81(5):1442-1453. doi: 10.3758/s13414-019-01689-5.","Findelsberger E","Atten Percept Psychophys","2019","2019/03/08","PMC6647363","","10.3758/s13414-019-01689-5"
"25915072","Form-to-expectation matching effects on first-pass eye movement measures during reading","Farmer TA, Yan S, Bicknell K, Tanenhaus MK.","J Exp Psychol Hum Percept Perform. 2015 Aug;41(4):958-76. doi: 10.1037/xhp0000054. Epub 2015 Apr 27.","Farmer TA","J Exp Psychol Hum Percept Perform","2015","2015/04/28","PMC4516711","NIHMS674890","10.1037/xhp0000054"
"28432451","Investigating the Use of World Knowledge During On-line Comprehension in Adults with Autism Spectrum Disorder","Howard PL, Liversedge SP, Benson V.","J Autism Dev Disord. 2017 Jul;47(7):2039-2053. doi: 10.1007/s10803-017-3129-x.","Howard PL","J Autism Dev Disord","2017","2017/04/23","","","10.1007/s10803-017-3129-x"
"22039423","Inner speech during silent reading reflects the reader's regional accent","Filik R, Barber E.","PLoS One. 2011;6(10):e25782. doi: 10.1371/journal.pone.0025782. Epub 2011 Oct 19.","Filik R","PLoS One","2011","2011/11/01","PMC3198452","","10.1371/journal.pone.0025782"
"23895448","Semantic preview benefit during reading","Hohenstein S, Kliegl R.","J Exp Psychol Learn Mem Cogn. 2014 Jan;40(1):166-90. doi: 10.1037/a0033670. Epub 2013 Jul 29.","Hohenstein S","J Exp Psychol Learn Mem Cogn","2014","2013/07/31","","","10.1037/a0033670"
"25962686","Focus takes time: structural effects on reading","Lowder MW, Gordon PC.","Psychon Bull Rev. 2015 Dec;22(6):1733-8. doi: 10.3758/s13423-015-0843-2.","Lowder MW","Psychon Bull Rev","2015","2015/05/13","PMC4641814","NIHMS690095","10.3758/s13423-015-0843-2"
"25171049","Literacy effects on language and vision: emergent effects from an amodal shared resource (ASR) computational model","Smith AC, Monaghan P, Huettig F.","Cogn Psychol. 2014 Dec;75:28-54. doi: 10.1016/j.cogpsych.2014.07.002. Epub 2014 Aug 27.","Smith AC","Cogn Psychol","2014","2014/08/30","","","10.1016/j.cogpsych.2014.07.002"
"26289548","Parafoveal processing in reading Chinese sentences: Evidence from event-related brain potentials","Li N, Niefind F, Wang S, Sommer W, Dimigen O.","Psychophysiology. 2015 Oct;52(10):1361-74. doi: 10.1111/psyp.12502. Epub 2015 Aug 20.","Li N","Psychophysiology","2015","2015/08/21","","","10.1111/psyp.12502"
"20833191","Attentional engagement deficits in dyslexic children","Ruffino M, Trussardi AN, Gori S, Finzi A, Giovagnoli S, Menghini D, Benassi M, Molteni M, Bolzani R, Vicari S, Facoetti A.","Neuropsychologia. 2010 Nov;48(13):3793-801. doi: 10.1016/j.neuropsychologia.2010.09.002. Epub 2010 Sep 15.","Ruffino M","Neuropsychologia","2010","2010/09/14","","","10.1016/j.neuropsychologia.2010.09.002"
"28056625","The role of executive control in resolving grammatical number conflict in sentence comprehension","Vandierendonck A, Loncke M, Hartsuiker RJ, Desmet T.","Q J Exp Psychol (Hove). 2018 Mar;71(3):759-778. doi: 10.1080/17470218.2016.1276610. Epub 2018 Jan 1.","Vandierendonck A","Q J Exp Psychol (Hove)","2018","2017/01/07","","","10.1080/17470218.2016.1276610"
"22791218","Targeting regressions: do readers pay attention to the left?","Apel JK, Henderson JM, Ferreira F.","Psychon Bull Rev. 2012 Dec;19(6):1108-13. doi: 10.3758/s13423-012-0291-1.","Apel JK","Psychon Bull Rev","2012","2012/07/14","","","10.3758/s13423-012-0291-1"
"26901571","Abstract Conceptual Feature Ratings Predict Gaze Within Written Word Arrays: Evidence From a Visual Wor(l)d Paradigm","Primativo S, Reilly J, Crutch SJ.","Cogn Sci. 2017 Apr;41(3):659-685. doi: 10.1111/cogs.12348. Epub 2016 Feb 22.","Primativo S","Cogn Sci","2017","2016/02/23","PMC5156577","NIHMS762305","10.1111/cogs.12348"
"23425364","Deconstructing frith and snowling's homograph-reading task: implications for autism spectrum disorders","Brock J, Bzishvili S.","Q J Exp Psychol (Hove). 2013 Sep;66(9):1764-73. doi: 10.1080/17470218.2013.766221. Epub 2013 Feb 21.","Brock J","Q J Exp Psychol (Hove)","2013","2013/02/22","","","10.1080/17470218.2013.766221"
"26168144","Readers extract character frequency information from nonfixated-target word at long pretarget fixations during Chinese reading","Ma G, Li X, Rayner K.","J Exp Psychol Hum Percept Perform. 2015 Oct;41(5):1409-19. doi: 10.1037/xhp0000072. Epub 2015 Jul 13.","Ma G","J Exp Psychol Hum Percept Perform","2015","2015/07/14","PMC4767270","NIHMS698594","10.1037/xhp0000072"
"22485022","Effects of local and global context on processing sentences with subject and object relative clauses","Yang F, Mo L, Louwerse MM.","J Psycholinguist Res. 2013 Jun;42(3):227-37. doi: 10.1007/s10936-012-9215-5.","Yang F","J Psycholinguist Res","2013","2012/04/10","","","10.1007/s10936-012-9215-5"
"24345674","Effect of repetition proportion on language-driven anticipatory eye movements","Britt AE, Mirman D, Kornilov SA, Magnuson JS.","Acta Psychol (Amst). 2014 Jan;145:128-38. doi: 10.1016/j.actpsy.2013.10.004. Epub 2013 Dec 15.","Britt AE","Acta Psychol (Amst)","2014","2013/12/19","PMC4067486","NIHMS587073","10.1016/j.actpsy.2013.10.004"
"27933563","Sensitivity to Crossover Constraints During Native and Non-native Pronoun Resolution","Felser C, Drummer JD.","J Psycholinguist Res. 2017 Jun;46(3):771-789. doi: 10.1007/s10936-016-9465-8.","Felser C","J Psycholinguist Res","2017","2016/12/10","","","10.1007/s10936-016-9465-8"
"25497518","Natural forces as agents: reconceptualizing the animate-inanimate distinction","Lowder MW, Gordon PC.","Cognition. 2015 Mar;136:85-90. doi: 10.1016/j.cognition.2014.11.021. Epub 2014 Dec 8.","Lowder MW","Cognition","2015","2014/12/16","PMC4308490","NIHMS647865","10.1016/j.cognition.2014.11.021"
"28661179","What are the costs of degraded parafoveal previews during silent reading?","Vasilev MR, Slattery TJ, Kirkby JA, Angele B.","J Exp Psychol Learn Mem Cogn. 2018 Mar;44(3):371-386. doi: 10.1037/xlm0000433. Epub 2017 Jun 29.","Vasilev MR","J Exp Psychol Learn Mem Cogn","2018","2017/06/30","","","10.1037/xlm0000433"
"21664920","Dissociating spatial and letter-based word length effects observed in readers' eye movement patterns","Hautala J, Hyönä J, Aro M.","Vision Res. 2011 Aug 1;51(15):1719-27. doi: 10.1016/j.visres.2011.05.015. Epub 2011 Jun 12.","Hautala J","Vision Res","2011","2011/06/14","","","10.1016/j.visres.2011.05.015"
"22614759","Dividing lines at the word boundary position helps reading in Chinese","Li X, Zhao W, Pollatsek A.","Psychon Bull Rev. 2012 Oct;19(5):929-34. doi: 10.3758/s13423-012-0270-6.","Li X","Psychon Bull Rev","2012","2012/05/23","","","10.3758/s13423-012-0270-6"
"22857818","Your mind wanders weakly, your mind wanders deeply: objective measures reveal mindless reading at different levels","Schad DJ, Nuthmann A, Engbert R.","Cognition. 2012 Nov;125(2):179-94. doi: 10.1016/j.cognition.2012.07.004. Epub 2012 Aug 2.","Schad DJ","Cognition","2012","2012/08/04","","","10.1016/j.cognition.2012.07.004"
"25384238","Parafoveal preview benefit is modulated by the precision of skilled readers' lexical representations","Veldre A, Andrews S.","J Exp Psychol Hum Percept Perform. 2015 Feb;41(1):219-32. doi: 10.1037/xhp0000017. Epub 2014 Nov 10.","Veldre A","J Exp Psychol Hum Percept Perform","2015","2014/11/11","","","10.1037/xhp0000017"
"22558163","Processing coordinate structures in Chinese: evidence from eye movements","Qingrong C, Yan H.","PLoS One. 2012;7(4):e35517. doi: 10.1371/journal.pone.0035517. Epub 2012 Apr 25.","Qingrong C","PLoS One","2012","2012/05/05","PMC3338849","","10.1371/journal.pone.0035517"
"21910560","The distribution of fixation durations during reading: effects of stimulus quality","White SJ, Staub A.","J Exp Psychol Hum Percept Perform. 2012 Jun;38(3):603-17. doi: 10.1037/a0025338. Epub 2011 Sep 12.","White SJ","J Exp Psychol Hum Percept Perform","2012","2011/09/14","","","10.1037/a0025338"
"27943081","Disambiguation and Integration in Korean Relative Clause Processing","Mansbridge M, Park S, Tamaoka K.","J Psycholinguist Res. 2017 Aug;46(4):827-845. doi: 10.1007/s10936-016-9461-z.","Mansbridge M","J Psycholinguist Res","2017","2016/12/13","","","10.1007/s10936-016-9461-z"
"23637011","Individual differences in fixation duration distributions in reading","Staub A, Benatar A.","Psychon Bull Rev. 2013 Dec;20(6):1304-11. doi: 10.3758/s13423-013-0444-x.","Staub A","Psychon Bull Rev","2013","2013/05/03","","","10.3758/s13423-013-0444-x"
"20573592","Binocularity during reading fixations: Properties of the minimum fixation disparity","Jainta S, Hoormann J, Kloke WB, Jaschinski W.","Vision Res. 2010 Aug 23;50(18):1775-85. doi: 10.1016/j.visres.2010.05.033. Epub 2010 Jun 1.","Jainta S","Vision Res","2010","2010/06/25","","","10.1016/j.visres.2010.05.033"
"27078160","CarPrice versus CarpRice: Word boundary ambiguity influences saccade target selection during the reading of Chinese sentences","Yan M, Kliegl R.","J Exp Psychol Learn Mem Cogn. 2016 Nov;42(11):1832-1838. doi: 10.1037/xlm0000276. Epub 2016 Apr 14.","Yan M","J Exp Psychol Learn Mem Cogn","2016","2016/04/15","","","10.1037/xlm0000276"
"22207311","Sink positive: linguistic experience with th substitutions influences nonnative word recognition","Hanulíková A, Weber A.","Atten Percept Psychophys. 2012 Apr;74(3):613-29. doi: 10.3758/s13414-011-0259-7.","Hanulíková A","Atten Percept Psychophys","2012","2011/12/31","","","10.3758/s13414-011-0259-7"
"24496738","Lack of semantic parafoveal preview benefit in reading revisited","Rayner K, Schotter ER, Drieghe D.","Psychon Bull Rev. 2014 Aug;21(4):1067-72. doi: 10.3758/s13423-014-0582-9.","Rayner K","Psychon Bull Rev","2014","2014/02/06","PMC4104250","NIHMS563338","10.3758/s13423-014-0582-9"
"28478742","'It's hard to write a good article': The online comprehension of excuses as indirect replies","Stewart AJ, Wood JS, Le-Luan E, Yao B, Haigh M.","Q J Exp Psychol (Hove). 2018 Jun;71(6):1265-1269. doi: 10.1080/17470218.2017.1327546. Epub 2018 Jan 1.","Stewart AJ","Q J Exp Psychol (Hove)","2018","2017/05/09","","","10.1080/17470218.2017.1327546"
"24838307","When canary primes yellow: effects of semantic memory on overt attention","Léger L, Chauvet E.","Psychon Bull Rev. 2015 Feb;22(1):200-5. doi: 10.3758/s13423-014-0657-7.","Léger L","Psychon Bull Rev","2015","2014/05/20","","","10.3758/s13423-014-0657-7"
"25181368","It takes time to prime: semantic priming in the ocular lexical decision task","Hoedemaker RS, Gordon PC.","J Exp Psychol Hum Percept Perform. 2014 Dec;40(6):2179-97. doi: 10.1037/a0037677. Epub 2014 Sep 1.","Hoedemaker RS","J Exp Psychol Hum Percept Perform","2014","2014/09/03","PMC4244277","NIHMS616967","10.1037/a0037677"
"27866311","Unforced Revision in Processing Relative Clause Association Ambiguity in Japanese: Evidence Against Revision as Last Resort","Yamada T, Arai M, Hirose Y.","J Psycholinguist Res. 2017 Jun;46(3):661-714. doi: 10.1007/s10936-016-9457-8.","Yamada T","J Psycholinguist Res","2017","2016/11/21","","","10.1007/s10936-016-9457-8"
"23456972","A further examination of the lexical-processing stages hypothesized by the E-Z Reader model","Sheridan H, Reingold EM.","Atten Percept Psychophys. 2013 Apr;75(3):407-14. doi: 10.3758/s13414-013-0442-0.","Sheridan H","Atten Percept Psychophys","2013","2013/03/05","","","10.3758/s13414-013-0442-0"
"22026498","Reading strategy modulates parafoveal-on-foveal effects in sentence reading","Wotschack C, Kliegl R.","Q J Exp Psychol (Hove). 2013;66(3):548-62. doi: 10.1080/17470218.2011.625094. Epub 2011 Oct 25.","Wotschack C","Q J Exp Psychol (Hove)","2013","2011/10/27","","","10.1080/17470218.2011.625094"
"23425386","Stress matters revisited: a boundary change experiment","Breen M, Clifton C Jr.","Q J Exp Psychol (Hove). 2013;66(10):1896-909. doi: 10.1080/17470218.2013.766899. Epub 2013 Feb 21.","Breen M","Q J Exp Psychol (Hove)","2013","2013/02/22","PMC3661722","NIHMS438383","10.1080/17470218.2013.766899"
"26595070","Semantic preview benefit in English: Individual differences in the extraction and use of parafoveal semantic information","Veldre A, Andrews S.","J Exp Psychol Learn Mem Cogn. 2016 Jun;42(6):837-54. doi: 10.1037/xlm0000212. Epub 2015 Nov 23.","Veldre A","J Exp Psychol Learn Mem Cogn","2016","2015/11/24","","","10.1037/xlm0000212"
"23349807","Children's and adults' on-line processing of syntactically ambiguous sentences during reading","Joseph HS, Liversedge SP.","PLoS One. 2013;8(1):e54141. doi: 10.1371/journal.pone.0054141. Epub 2013 Jan 17.","Joseph HS","PLoS One","2013","2013/01/26","PMC3547875","","10.1371/journal.pone.0054141"
"24294870","Dissociating preview validity and preview difficulty in parafoveal processing of word n + 1 during reading","Risse S, Kliegl R.","J Exp Psychol Hum Percept Perform. 2014 Apr;40(2):653-68. doi: 10.1037/a0034997. Epub 2013 Dec 2.","Risse S","J Exp Psychol Hum Percept Perform","2014","2013/12/04","","","10.1037/a0034997"
"26769246","Two stages of parafoveal processing during reading: Evidence from a display change detection task","Angele B, Slattery TJ, Rayner K.","Psychon Bull Rev. 2016 Aug;23(4):1241-9. doi: 10.3758/s13423-015-0995-0.","Angele B","Psychon Bull Rev","2016","2016/01/16","PMC4974265","","10.3758/s13423-015-0995-0"
"23356237","Sensitivity to speaker control in the online comprehension of conditional tips and promises: an eye-tracking study","Stewart AJ, Haigh M, Ferguson HJ.","J Exp Psychol Learn Mem Cogn. 2013 Jul;39(4):1022-36. doi: 10.1037/a0031513. Epub 2013 Jan 28.","Stewart AJ","J Exp Psychol Learn Mem Cogn","2013","2013/01/30","","","10.1037/a0031513"
"24043595","The effect of discourse structure on depth of semantic integration in reading","Yang X, Chen L, Yang Y.","Mem Cognit. 2014 Feb;42(2):325-39. doi: 10.3758/s13421-013-0363-0.","Yang X","Mem Cognit","2014","2013/09/18","","","10.3758/s13421-013-0363-0"
"22732029","Situational context affects definiteness preferences: accommodation of presuppositions","Clifton C.","J Exp Psychol Learn Mem Cogn. 2013 Mar;39(2):487-501. doi: 10.1037/a0028975. Epub 2012 Jun 25.","Clifton C","J Exp Psychol Learn Mem Cogn","2013","2012/06/27","PMC3893092","NIHMS526839","10.1037/a0028975"
"25939443","An Analysis of the Time Course of Lexical Processing During Reading","Sheridan H, Reichle ED.","Cogn Sci. 2016 Apr;40(3):522-53. doi: 10.1111/cogs.12246. Epub 2015 May 4.","Sheridan H","Cogn Sci","2016","2015/05/06","PMC5122144","NIHMS675993","10.1111/cogs.12246"
"24893738","Morphology of primary visual cortex predicts individual differences in fixation duration during text reading","Henderson JM, Choi W, Luke SG.","J Cogn Neurosci. 2014 Dec;26(12):2880-8. doi: 10.1162/jocn_a_00668. Epub 2014 Jun 4.","Henderson JM","J Cogn Neurosci","2014","2014/06/05","","","10.1162/jocn_a_00668"
"20934446","Reading disappearing text: why do children refixate words?","Blythe HI, Häikiö T, Bertam R, Liversedge SP, Hyönä J.","Vision Res. 2011 Jan;51(1):84-92. doi: 10.1016/j.visres.2010.10.003. Epub 2010 Oct 8.","Blythe HI","Vision Res","2011","2010/10/12","","","10.1016/j.visres.2010.10.003"
"21665224","Single-plane compensatory phase shift of head and eye oscillations in infantile nystagmus syndrome","Anagnostou E, Spengos K, Anastasopoulos D.","J Neurol Sci. 2011 Sep 15;308(1-2):182-5. doi: 10.1016/j.jns.2011.05.033. Epub 2011 Jun 12.","Anagnostou E","J Neurol Sci","2011","2011/06/14","","","10.1016/j.jns.2011.05.033"
"27221599","""This Isn't a Promise, It's a Threat""","Wood JS, Haigh M, Stewart AJ.","Exp Psychol. 2016 Mar;63(2):89-97. doi: 10.1027/1618-3169/a000315.","Wood JS","Exp Psychol","2016","2016/05/26","","","10.1027/1618-3169/a000315"
"22082213","Saccade launch site as a predictor of fixation durations in reading: comments on Hand, Miellet, O'Donnell, and Sereno (2010)","Slattery TJ, Staub A, Rayner K.","J Exp Psychol Hum Percept Perform. 2012 Feb;38(1):251-61. doi: 10.1037/a0025980. Epub 2011 Nov 14.","Slattery TJ","J Exp Psychol Hum Percept Perform","2012","2011/11/16","","","10.1037/a0025980"
"24933699","Using E-Z Reader to examine the consequences of fixation-location measurement error","Reichle ED, Drieghe D.","J Exp Psychol Learn Mem Cogn. 2015 Jan;41(1):262-70. doi: 10.1037/a0037090. Epub 2014 Jun 16.","Reichle ED","J Exp Psychol Learn Mem Cogn","2015","2014/06/17","PMC4268100","NIHMS594884","10.1037/a0037090"
"23468182","Pupil diameter measurement errors as a function of gaze direction in corneal reflection eyetrackers","Brisson J, Mainville M, Mailloux D, Beaulieu C, Serres J, Sirois S.","Behav Res Methods. 2013 Dec;45(4):1322-31. doi: 10.3758/s13428-013-0327-0.","Brisson J","Behav Res Methods","2013","2013/03/08","","","10.3758/s13428-013-0327-0"
"26752734","Is semantic preview benefit due to relatedness or plausibility?","Veldre A, Andrews S.","J Exp Psychol Hum Percept Perform. 2016 Jul;42(7):939-52. doi: 10.1037/xhp0000200. Epub 2016 Jan 11.","Veldre A","J Exp Psychol Hum Percept Perform","2016","2016/01/12","","","10.1037/xhp0000200"
"19742387","Flexible saccade-target selection in Chinese reading","Yan M, Kliegl R, Richter EM, Nuthmann A, Shu H.","Q J Exp Psychol (Hove). 2010 Apr;63(4):705-25. doi: 10.1080/17470210903114858. Epub 2009 Sep 8.","Yan M","Q J Exp Psychol (Hove)","2010","2009/09/11","","","10.1080/17470210903114858"
"26789002","Eye Movement Evidence for Hierarchy Effects on Memory Representation of Discourses","Wu Y, Yang X, Yang Y.","PLoS One. 2016 Jan 20;11(1):e0147313. doi: 10.1371/journal.pone.0147313. eCollection 2016.","Wu Y","PLoS One","2016","2016/01/21","PMC4720401","","10.1371/journal.pone.0147313"
"22683830","Skilled deaf readers have an enhanced perceptual span in reading","Bélanger NN, Slattery TJ, Mayberry RI, Rayner K.","Psychol Sci. 2012 Jul 1;23(7):816-23. doi: 10.1177/0956797611435130. Epub 2012 Jun 8.","Bélanger NN","Psychol Sci","2012","2012/06/12","PMC3723350","NIHMS485079","10.1177/0956797611435130"
"22683609","Discourse integration guided by the 'question under discussion'","Clifton C Jr, Frazier L.","Cogn Psychol. 2012 Sep;65(2):352-79. doi: 10.1016/j.cogpsych.2012.04.001. Epub 2012 Jun 7.","Clifton C Jr","Cogn Psychol","2012","2012/06/12","PMC3394877","NIHMS373867","10.1016/j.cogpsych.2012.04.001"
"24879638","The role of verbal memory in regressions during reading is modulated by the target word's recency in memory","Guérard K, Saint-Aubin J, Maltais M, Lavoie H.","Mem Cognit. 2014 Oct;42(7):1155-70. doi: 10.3758/s13421-014-0424-z.","Guérard K","Mem Cognit","2014","2014/06/01","","","10.3758/s13421-014-0424-z"
"25797456","Context-driven expectations about focus alternatives","Kim CS, Gunlogson C, Tanenhaus MK, Runner JT.","Cognition. 2015 Jun;139:28-49. doi: 10.1016/j.cognition.2015.02.009. Epub 2015 Mar 19.","Kim CS","Cognition","2015","2015/03/24","PMC4397188","NIHMS674467","10.1016/j.cognition.2015.02.009"
"21480750","Distinguishing the time course of lexical and discourse processes through context, coreference, and quantified expressions","Huang YT, Gordon PC.","J Exp Psychol Learn Mem Cogn. 2011 Jul;37(4):966-78. doi: 10.1037/a0023218.","Huang YT","J Exp Psychol Learn Mem Cogn","2011","2011/04/13","PMC3130803","NIHMS278689","10.1037/a0023218"
"26745321","Untangling letter confusability and word length effects in pure alexia","Johnson RL, Raphail AM.","Cogn Neuropsychol. 2015 Oct-Dec;32(7-8):442-56. doi: 10.1080/02643294.2015.1113945. Epub 2016 Jan 6.","Johnson RL","Cogn Neuropsychol","2015","2016/01/09","","","10.1080/02643294.2015.1113945"
"26145449","The use of probabilistic lexicality cues for word segmentation in Chinese reading","Zang C, Wang Y, Bai X, Yan G, Drieghe D, Liversedge SP.","Q J Exp Psychol (Hove). 2016;69(3):548-60. doi: 10.1080/17470218.2015.1061030. Epub 2015 Jul 11.","Zang C","Q J Exp Psychol (Hove)","2016","2015/07/07","","","10.1080/17470218.2015.1061030"
"23206168","Using E-Z reader to examine word skipping during reading","Reichle ED, Drieghe D.","J Exp Psychol Learn Mem Cogn. 2013 Jul;39(4):1311-20. doi: 10.1037/a0030910. Epub 2012 Dec 3.","Reichle ED","J Exp Psychol Learn Mem Cogn","2013","2012/12/05","PMC3832990","NIHMS526875","10.1037/a0030910"
"26913935","Are nonadjacent collocations processed faster?","Vilkaitė L.","J Exp Psychol Learn Mem Cogn. 2016 Oct;42(10):1632-1642. doi: 10.1037/xlm0000259. Epub 2016 Feb 25.","Vilkaitė L","J Exp Psychol Learn Mem Cogn","2016","2016/02/26","","","10.1037/xlm0000259"
"21149306","Periodic letter strokes within a word affect fixation disparity during reading","Jainta S, Jaschinski W, Wilkins AJ.","J Vis. 2010 Nov 2;10(13):2. doi: 10.1167/10.13.2.","Jainta S","J Vis","2010","2010/12/15","","","10.1167/10.13.2"
"26801166","Why does removing inter-word spaces produce reading deficits? The role of parafoveal processing","Sheridan H, Reichle ED, Reingold EM.","Psychon Bull Rev. 2016 Oct;23(5):1543-1552. doi: 10.3758/s13423-015-0997-y.","Sheridan H","Psychon Bull Rev","2016","2016/01/24","","","10.3758/s13423-015-0997-y"
"25103417","Reading proficiency modulates parafoveal processing efficiency: evidence from reading Chinese as a second language","Wang A, Zhou W, Shu H, Yan M.","Acta Psychol (Amst). 2014 Oct;152:29-33. doi: 10.1016/j.actpsy.2014.07.010. Epub 2014 Aug 13.","Wang A","Acta Psychol (Amst)","2014","2014/08/09","","","10.1016/j.actpsy.2014.07.010"
"22895885","Revisiting Huey: on the importance of the upper part of words during reading","Perea M.","Psychon Bull Rev. 2012 Dec;19(6):1148-53. doi: 10.3758/s13423-012-0304-0.","Perea M","Psychon Bull Rev","2012","2012/08/17","","","10.3758/s13423-012-0304-0"
"24390825","Task relevance induces momentary changes in the functional visual field during reading","Kaakinen JK, Hyönä J.","Psychol Sci. 2014 Feb;25(2):626-32. doi: 10.1177/0956797613512332. Epub 2014 Jan 3.","Kaakinen JK","Psychol Sci","2014","2014/01/07","","","10.1177/0956797613512332"
